type,code,name,info,type2,flag,pos,uk1,weapontype,uk2,sex,school,attack,skill,uk3,uk4,beitemslot
110008,blade_A0008,フライPANG☆,とても大きなフライパン。元々、ダチョウの卵を焼くために作られたというウワサがある,2,4,8,2,1,0,0,0,101,20030,0,1,522222
110009,blade_A0009,イブニングスター,一日のうち、夕方に一番強くなると言ううわさがある武器。実際に使ってみると、うわさにはあまり信憑性がないように感じる,2,4,8,2,1,0,0,0,101,20011,0,1,522222
110010,blade_A0010,包丁,りんごを剥いたり刺身を作る時に使われる。モンスターを料理するために作られた武器と言う者もいるが、今までモンスター料理は出たことがない,2,4,8,2,1,0,0,0,0,0,0,1,522222
110011,blade_A0011,ソニックブレード,チェーンソーの原理で高速回転する刃が付いたブレード,2,4,8,2,1,0,0,0,104,20015,0,1,522222
119002,blade_A0011,トニックブレード,ソニックブレードの偽物。豪快なバーテンダーがカクテルを混ぜるのに使っていたという。出力が弱い為、1年生でも扱うことができる。,2,4,8,2,1,0,0,0,104,20015,0,1,522222
110012,blade_A0012,マジカルストンパー,玩具のような外見だが、実はかなりの威力を誇る。油断して殴られた相手はそのダメージにビックリ！,2,4,8,2,1,0,0,0,101,20032,0,1,522222
119022,blade_A0012,飛頭蛮はんまー,昼間は人間だが、夜は首が胴体から飛び立つという妖怪「飛頭蛮」を捕獲した武器。スキル使用時に飛び立ってしまわないよう注意しよう！,2,4,8,2,1,0,0,0,101,20032,0,1,522222
110013,blade_A0013,ジャガーノートハンマー,無骨で凶悪に重いハンマー。見ているだけでもダメージを受けるような気がするほどだ。この武器を持った相手と決闘するのは絶対に避けよう,2,4,8,2,1,0,0,0,102,20018,0,1,522222
119004,blade_A0013,お試しハンマー,ジャガーノートハンマーにそっくりだが、本物よりも軽い金属で出来ているため、2年生でも扱うことができる。,2,4,8,2,1,0,0,0,102,20018,0,1,522222
110014,blade_A0014,アサシンサンダー,暗殺者が愛用する武器。柄のゴム部分を除いてブレード全体に電気が流れていて、触れるだけで致命的なダメージを受ける,2,4,8,2,1,0,0,0,0,0,0,1,522222
110015,blade_A0015,サンダーセイバー,柄の充電池から流れるエネルギーを集束させた刀身を持つ光線剣。振り回す度に聞こえる音がかっこいい,2,4,8,2,1,0,0,0,104,20021,0,1,522222
119011,blade_A0015,サンダーセイバー,柄の充電池から流れるエネルギーを集束させた刀身を持つ光線剣。振り回す度に聞こえる音がかっこいい,2,4,8,2,1,0,0,0,104,20021,0,1,522222
110016,blade_A0016,カタナ,日本古来のブレードで、サムライの象徴。刃が非常に鋭いので、取り扱いには注意が必要,2,4,8,2,1,0,0,0,104,20023,0,1,522222
110017,blade_A0017,アスラブレード,鬼神が封じ込められているというブレード。鬼神にも勝る度胸がある者だけが使うことが出来る。使いこなせれば、その威力は恐るべきものだという…,2,4,8,2,1,0,0,0,0,0,0,1,522222
110018,blade_A0018,教頭スレイヤー,極秘で6年生にだけ受け継がれ続ける、伝説のブレード。このブレードを手にした者は、教頭にさえ勝てる力を持つようになるそうだ,2,4,8,2,1,0,0,0,102,20036,0,1,522222
110019,blade_A0019,スクリュードライバー,ねじのような形のプラスドライバー,2,4,8,2,1,0,0,0,104,20016,0,1,522222
119003,blade_A0019,ペーパードライバー,ペーパークラフトで出来ているスクリュードライバー。当然ながら本物より弱い。無事故を続けるとゴールドになるかも？,2,4,8,2,1,0,0,0,104,20016,0,1,522222
119010,blade_A0019,ペーパードライバー,ペーパークラフトで出来ているスクリュードライバー。当然ながら本物より弱い。無事故を続けるとゴールドになるかも？,2,4,8,2,1,0,0,0,104,20016,0,1,522222
110020,blade_A0020,ヴァーミリオンエッジ,真紅の宝石がガード部分に付いているブレード。宝石が光を発する時、より強くなるという,2,4,8,2,1,0,0,0,102,20034,0,1,522222
110021,blade_A0021,ブリンガー,大きい鎌のような形のブレード,2,4,8,2,1,0,0,0,102,20028,0,1,522222
119005,blade_A0021,プリンガー,ブリンガーの偽物。3年生でも装備できるが攻撃力は低い。お菓子を作る時、かき混ぜ器として使うと意外と便利？,2,4,8,2,1,0,0,0,102,20028,0,1,522222
119021,blade_A0021,鎌鼬,妖怪「鎌鼬」が化けたブレード。鎌鼬は、一体目が人を倒し、二体目が傷をつけ、三体目が、その傷を治すといわれている。,2,4,8,2,1,0,0,0,102,20028,0,1,522222
110022,blade_A0022,シーウィード,海の妖精が使うという金色の粉で作られたブレード,2,4,8,2,1,0,0,0,102,20029,0,1,522222
110023,blade_A0023,ライトブレイカー,蛍光灯をベースとして作られたブレード。簡単には割れないように強化されているので安心して戦える,2,4,8,2,1,0,0,0,102,20033,0,1,522222
110024,blade_A0024,スティンガーブレイズ,スティンガーをベースに、より高性能に改良されたブレード,2,4,8,2,1,0,0,0,102,20035,0,1,522222
911001,blade_A1001,スティンガー・ANNA,スロット1,2,4,8,2,1,1,0,0,102,20001,10,1,11005
911002,blade_A1001,スティンガー・ANNA,スロット2,2,4,8,2,1,2,0,0,102,20001,20,2,11005
911003,blade_A1001,スティンガー・ANNA,スロット3,2,4,8,2,1,3,0,0,102,20001,30,3,11005
911004,blade_A1001,スティンガー・ANNA,スロット4,2,4,8,2,1,4,0,0,102,20001,40,4,11005
911005,blade_A1001,スティンガー・ANNA,スロット5,2,4,8,2,1,5,0,0,102,20001,50,5,11005
111001,blade_A1001,スティンガー・ANNA,可愛らしいピンク色で、SDアンナのイラスト入りのスティンガー。いつでもどこでもアンナと一緒！,2,4,8,2,1,0,0,0,102,20001,0,1,522222
111002,blade_A1002,バロソードＭ,"計測道具として、プロも納得の精度を誇るバロソード。その長さは、1秒の1/299,792,458に光が真空中を伝わる距離と、正確に一致するらしい",2,4,8,2,1,0,0,0,104,20002,0,1,522222
119008,blade_A1002,"バロソード YT","長さを測るのに便利な機能を持つブレード。初心者に最適。<br>ヨーグルティング一周年記念の贈り物。",2,4,8,2,1,0,0,0,104,20002,0,1,522222
119013,blade_A1002,バロソードＭ,"計測道具として、プロも納得の精度を誇るバロソード。その長さは、1秒の1/299,792,458に光が真空中を伝わる距離と、正確に一致するらしい",2,4,8,2,1,0,0,0,104,20002,0,1,522222
111004,blade_A1004,レイピア＝ローズ,長く尖った剣身を持つブレード。鋭い棘を持つ薔薇のように、その剣身は艶やかに紅く染まっている,2,4,8,2,1,0,0,0,104,20006,0,1,522222
119014,blade_A1004,レイピア＝ローズ,長く尖った剣身を持つブレード。鋭い棘を持つ薔薇のように、その剣身は艶やかに紅く染まっている,2,4,8,2,1,0,0,0,104,20006,0,1,522222
119019,blade_A1004,レイピア＝ヴァンパイア,不老不死のヴァンパイアが乙女の血を浴びるために使った凶器だという。元の持ち主の魂が宿っているのか、巻きついたツタは獲物を求めて蠢いている。,2,4,8,2,1,0,0,0,104,20006,0,1,522222
910001,blade_A1006,赤檀木刀,スロット1,2,4,8,2,1,1,0,0,104,20008,10,1,10005
910002,blade_A1006,赤檀木刀,スロット2,2,4,8,2,1,2,0,0,104,20008,20,2,10005
910003,blade_A1006,赤檀木刀,スロット3,2,4,8,2,1,3,0,0,104,20008,30,3,10005
910004,blade_A1006,赤檀木刀,スロット4,2,4,8,2,1,4,0,0,104,20008,40,4,10005
910005,blade_A1006,赤檀木刀,スロット5,2,4,8,2,1,5,0,0,104,20008,50,5,10005
111006,blade_A1006,赤檀木刀,幻の木材として古くから伝わる赤檀で作られた木刀。普通の木刀とは違った「風格」があるので、番長を名乗るなら絶対オススメの一本！,2,4,8,2,1,0,0,0,104,20008,0,1,522222
119007,blade_A1006,"赤檀木刀 YT","不良モードの必需品。釘バットとともに二大不良武器と呼ばれる。普通の木刀よりは実戦用と言える。<br>ヨーグルティング一周年記念の贈り物。",2,4,8,2,1,0,0,0,104,20008,0,1,522222
119012,blade_A1006,赤檀木刀,幻の木材として古くから伝わる赤檀で作られた木刀。普通の木刀とは違った「風格」があるので、番長を名乗るなら絶対オススメの一本！,2,4,8,2,1,0,0,0,104,20008,0,1,522222
119018,blade_A1006,妖樹木刀,妖怪「人面樹」が材料の木刀。呪われており、使い続けると持ち主を人面樹に変えてしまうという。気にならない人は、圧倒的な呪いのパワーを堪能しよう。,2,4,8,2,1,0,0,0,104,20008,0,1,522222
111011,blade_A1011,ソニックブレード・親方,材木の伐採場や建築現場の作業者から絶大な支持を得ている、切断用機械。武器としても、通常のソニックブレードと同等の威力を誇る,2,4,8,2,1,0,0,0,104,20015,0,1,522222
119015,blade_A1011,ソニックブレード・親方,材木の伐採場や建築現場の作業者から絶大な支持を得ている、切断用機械。武器としても、通常のソニックブレードと同等の威力を誇る,2,4,8,2,1,0,0,0,104,20015,0,1,522222
111013,blade_A1013,ギガンティックハンマー,ジャガーノートハンマーを持った相手と決闘するために作られた武器。この武器を手にした日から、ジャガーノートハンマーの使い手と戦わなければならない宿命を持つようになる,2,4,8,2,1,0,0,0,102,20018,0,1,522222
119017,blade_A1013,ギガンティックハンマー,ジャガーノートハンマーを持った相手と決闘するために作られた武器。この武器を手にした日から、ジャガーノートハンマーの使い手と戦わなければならない宿命を持つようになる,2,4,8,2,1,0,0,0,102,20018,0,1,522222
111015,blade_A1015,ダークセイバー,サンダーセイバーの使い手が強い意志で悪の道を選んだ時、その刀身は闇の色に染まりダークセイバーへと変化するというが、電池を交換すると普通のサンダーセイバーに戻るという噂もある,2,4,8,2,1,0,0,0,104,20021,0,1,522222
119020,blade_A1015,雷獣針,落雷と共に現れるといわれる妖怪「雷獣」の雷を受けて強力になったダークセイバー。スキル使用時は、落雷注意を呼びかけよう。,2,4,8,2,1,0,0,0,104,20021,0,1,522222
111016,blade_A1016,カタナ・無銘,日本古来のブレード。サムライの象徴として美術品のように扱われた時代のものではなく、戦国時代の名も無き兵が使っていた無銘の業物。使い込まれて刀身の色が朱に染まっている,2,4,8,2,1,0,0,0,104,20023,0,1,522222
119016,blade_A1016,カタナ・無銘,日本古来のブレード。サムライの象徴として美術品のように扱われた時代のものではなく、戦国時代の名も無き兵が使っていた無銘の業物。使い込まれて刀身の色が朱に染まっている,2,4,8,2,1,0,0,0,104,20023,0,1,522222
111019,blade_A1019,クロスヘッドドライバー,先端の十字型の部分が特殊合金製になっているスクリュードライバー。ネジ穴が潰れてしまったネジも締めたり緩めたり出来るように作られている,2,4,8,2,1,0,0,0,104,20016,0,1,522222
111021,blade_A1021,パニッシャー,ブリンガーの原型となった武器。元来モンスター退治用ではなく、罪人の処刑のために使われていたという,2,4,8,2,1,0,0,0,102,20028,0,1,522222
111022,blade_A1022,ディープシーウィード,深い海の底に住む妖精が作ったというブレード。きらめくような青い刀身をしているが、これを作った妖精自身は光の差さない海底にいるため、決してそれを知ることはない,2,4,8,2,1,0,0,0,102,20029,0,1,522222
120001,glorb_A0001,有備無患,堅い金属製のグローブ。固い地面や壁に打ちつけると火花を散らし、炎の拳となる,3,4,8,1,2,0,0,0,302,40001,0,1,522222
120002,glorb_A0002,浩然之気,手甲のレンズが青く輝くグローブ。輝く気の弾を飛ばす必殺技が使える,3,4,8,1,2,0,0,0,302,40002,0,1,522222
129001,glorb_A0002,超・浩然之気,浩然之気の出力が限界を超えた物。その光は神仙の如き輝きを放つが、素材への負担も大きい。4年生以上しか装備できない。,3,4,8,1,2,0,0,0,302,40002,0,1,522222
129009,glorb_A0002,浩然之気,手甲のレンズが青く輝くグローブ。輝く気の弾を飛ばす必殺技が使える,3,4,8,1,2,0,0,0,302,40030,0,1,522222
120003,glorb_A0003,ザリンゴビフィスト,何度も修繕された、つぎはぎだらけのグローブ。ハングリー精神が込められている,3,4,8,1,2,0,0,0,302,40003,0,1,522222
120004,glorb_A0004,竹馬故友クロー,青竹のような感じのグローブ,3,4,8,1,2,0,0,0,0,40003,0,1,522222
120005,glorb_A0005,レインボーフィスト,技を放つ度に、虹色の軌跡が描かれることからレインボーフィストと呼ばれるようになった。必殺技を使う度に虹が現れるので、学園祭の時よく使われる,3,4,8,1,2,0,0,0,302,40006,0,1,522222
129004,glorb_A0005,レインポーフィスト,レインボーフィストの偽物。使っているとすぐ壊れるが、威力が弱い分、低学年でも使用可能。,3,4,8,1,2,0,0,0,302,40006,0,1,522222
120006,glorb_A0006,マキシマガントレット,かなり重いグローブだが、使いこなせれば凄まじい威力を発揮する,3,4,8,1,2,0,0,0,304,40032,0,1,522222
120007,glorb_A0007,ギャンブルハンド,手の甲にスペードのエースが彫刻されているグローブ。必殺技を使うとカードが現れる,3,4,8,1,2,0,0,0,301,40009,0,1,522222
120008,glorb_A0008,バトルクロー,古代、主に大規模な戦闘で使われたという伝説があるグローブ。現在はモンスター退治用に改造されているが、その異様な迫力は健在,3,4,8,1,2,0,0,0,303,40010,0,1,522222
129006,glorb_A0008,イベントバトルクロー,古代、主に大規模な戦闘で使われたという伝説があるグローブ。現在はモンスター退治用に改造されているが、その異様な迫力は健在,3,5,8,1,2,0,0,0,303,40010,0,1,522222
120009,glorb_A0009,天方地軸,こんな奇天烈なデザインのグローブを使う者の気が知れない。しかしこのグローブを使った生徒たちは、みんな口をそろえて誉めまくる,3,4,8,1,2,0,0,0,302,40011,0,1,522222
120010,glorb_A0010,ブレードハンド,グローブというよりはブレードに近い武器。両腕に装着すると、まるで二刀流で戦っている気分。速攻戦に適している,3,4,8,1,2,0,0,0,303,40012,0,1,522222
120011,glorb_A0011,バイティングギア,怪獣が口を開けているようなデザインのグローブ。手先に生えた鋭い角が、この武器の威力を物語っている,3,4,8,1,2,0,0,0,303,40013,0,1,522222
129022,glorb_A0011,オーガトゥースギア,妖怪「鬼」が使用者を襲うために化けたグローブ。戦い続けて鬼の食欲を満たしてやれば食われずに済む。鬼が一口で物を食らう勢いを例えて「鬼一口」という。,3,4,8,1,2,0,0,0,303,40013,0,1,522222
120012,glorb_A0012,ギガンティックギア,最も重いグローブ。古代の巨人族が使ったというグローブを、生徒用に改造した武器だ。使いこなすのは難しいが、一旦慣れればもう怖いものなしだ,0,4,0,0,0,0,0,0,0,0,0,1,522222
120013,glorb_A0013,フェニックスナックル,不死鳥の羽毛で作ったというグローブ,3,4,8,1,2,0,0,0,302,40016,0,1,522222
129011,glorb_A0013,フェニックスナックル,不死鳥の羽毛で作ったというグローブ,3,4,8,1,2,0,0,0,302,40016,0,1,522222
120014,glorb_A0014,快刀乱麻,速度において最高の武器。ただ速度を重視するあまり、威力がそれほどない,3,4,8,1,2,0,0,0,302,40018,0,1,522222
129005,glorb_A0014,怪盗乱麻,どこからともなく現れ、レアアイテムを盗むという怪盗が、犯行現場に本物とすりかえて残していった偽物。3年生でも装備できる。,3,4,8,1,2,0,0,0,302,40018,0,1,522222
120015,glorb_A0015,ヴァイパーナックル,蛇の皮で作った後、その表面に蛇毒を塗って完成させたグローブ。打撃を受けた相手は必ずひどい中毒状態に陥るため、現在は販売も使用も禁止されている,3,4,8,1,2,0,0,0,301,40021,0,1,522222
129002,glorb_A0015,バイパーナックル,"ヴァイパーナックルの未完成品。毒の塗布が完全でないため 1年生でも扱うことが出来る。",3,4,8,1,2,0,0,0,301,40021,0,1,522222
120016,glorb_A0016,イーグルクロー,鷹のカギ爪に似せて作られたグローブ。打撃よりも、引き裂くような攻撃向きにデザインされている,3,4,8,1,2,0,0,0,303,40023,0,1,522222
120017,glorb_A0017,タウロスギア,山をも砕くという伝説のグローブ。無骨で豪快な形を見ていると、不可能ではないような気がしてくる,3,4,8,1,2,0,0,0,304,40033,0,1,522222
120018,glorb_A0018,アルティメットギア,言葉とおり究極のグローブ。グローブ自らが自分の使い手を決めるという,3,4,8,1,2,0,0,0,304,40034,0,1,522222
120019,glorb_A0019,フェノメーターギア,手の甲に計器盤がついたこのグローブは、探査用に製作された,3,4,8,1,2,0,0,0,301,40014,0,1,522222
120020,glorb_A0020,デュアルガントレット,大きなボーリング玉を手にはめたような外見は、見るからに驚異的だ,0,4,0,0,0,0,0,0,0,0,0,1,522222
120021,glorb_A0021,ジョーのバンテージ,伝説の格闘王ジョーが拳に巻いていたという包帯,3,4,8,1,2,0,0,0,301,40028,0,1,522222
129003,glorb_A0021,練習用バンテージ,"長さ2.5m以下のバンテージ。しっかり拳を守って修練に励もう。 1年生でも着用可能。",3,4,8,1,2,0,0,0,301,40028,0,1,522222
129010,glorb_A0021,ジョーのバンテージ,伝説の格闘王ジョーが拳に巻いていたという包帯,3,4,8,1,2,0,0,0,301,40028,0,1,522222
129019,glorb_A0021,一反木綿バンテージ,付喪神の一種で、布が妖怪になった「一反木綿」がバンテージと化したもの。一反＝約11メートルで、通常のバンテージより長いため上級生向けである。,3,4,8,1,2,0,0,0,301,40028,0,1,522222
120022,glorb_A0022,ライアットギア,怒りや悲しみなどの「負の感情」を力に変えるというグローブ。戦った後はさわやかな気持ちになれるらしい,3,4,8,1,2,0,0,0,304,40031,0,1,522222
121001,glorb_A1001,無備有患,「有備無患」の初期バージョン。名前に反し、関係者の不注意で欠陥があるまま販売され、後に回収された。そのため皮肉を込めて「備え無ければ患有り」と呼ばれている,3,4,8,1,2,0,0,0,302,40001,0,1,522222
129007,glorb_A1001,"無備有患 YT","堅い金属製のグローブ。<br>ヨーグルティング一周年記念の贈り物。",3,4,8,1,2,0,0,0,302,40001,0,1,522222
129012,glorb_A1001,有備無患,堅い金属製のグローブ。固い地面や壁に打ちつけると火花を散らし、炎の拳となる,3,4,8,1,2,0,0,0,302,40001,0,1,522222
129018,glorb_A1001,大蝦蟇グローブ,人や動物を誘う気を放って獲物を呼び寄せるという、妖怪「大蝦蟇」の皮が材料のグローブ。べとべとする上、人を誘い出す気を発している厄介な代物。,3,4,8,1,2,0,0,0,302,40001,0,1,522222
121002,glorb_A1002,浩然之心,手甲のレンズが青く輝くグローブ。天地神明に恥じることのない心の持ち主だけが、その真の能力を発揮できるといわれている,3,4,8,1,2,0,0,0,302,40002,0,1,522222
121003,glorb_A1003,窮極ザリンゴビフィスト,持ち主を窮地に追い込むというグローブ。生きて勝利をつかむか栄養失調で倒れるか、まさに背水の陣。心を鍛えるのに最高,3,4,8,1,2,0,0,0,302,40003,0,1,522222
129008,glorb_A1003,"The ザリンゴビフィスト YT","ガリガリにやせたグローブ。<br>ヨーグルティング一周年記念の贈り物。",3,4,8,1,2,0,0,0,302,40003,0,1,522222
129013,glorb_A1003,窮極ザリンゴビフィスト,持ち主を窮地に追い込むというグローブ。生きて勝利をつかむか栄養失調で倒れるか、まさに背水の陣。心を鍛えるのに最高,3,4,8,1,2,0,0,0,302,40003,0,1,522222
121005,glorb_A1005,バイオレットフィスト,レインボーフィストの改良版。技を放つ度に描かれる虹の紫色が、さらに美しく発色されるようになったという。使い手は、なぜかよく日焼けしていることが多い,3,4,8,1,2,0,0,0,302,40006,0,1,522222
129017,glorb_A1005,バイオレットフィスト,レインボーフィストの改良版。技を放つ度に描かれる虹の紫色が、さらに美しく発色されるようになったという。使い手は、なぜかよく日焼けしていることが多い,3,4,8,1,2,0,0,0,302,40006,0,1,522222
129020,glorb_A1005,八咫烏,神の使いともいわれる、三本の足を持つ妖怪「八咫烏」の翼を使用したグローブ。正確な道筋を指して羽ばたくため方向音痴の人でも安心。,3,4,8,1,2,0,0,0,302,40006,0,1,522222
121007,glorb_A1007,ブラックジャック,ここ一番の勝負の際、最高のカードか最悪のカードを50%ずつの確率で引き当てるというこのグローブは、多くのギャンブラーの憧れであり、同時に恐れられている,3,4,8,1,2,0,0,0,301,40009,0,1,522222
129014,glorb_A1007,ブラックジャック,ここ一番の勝負の際、最高のカードか最悪のカードを50%ずつの確率で引き当てるというこのグローブは、多くのギャンブラーの憧れであり、同時に恐れられている,3,4,8,1,2,0,0,0,301,40009,0,1,522222
921001,glorb_A1009,天真爛漫,スロット1,3,4,8,1,2,1,0,0,302,40011,10,1,21005
921002,glorb_A1009,天真爛漫,スロット2,3,4,8,1,2,2,0,0,302,40011,20,2,21005
921003,glorb_A1009,天真爛漫,スロット3,3,4,8,1,2,3,0,0,302,40011,30,3,21005
921004,glorb_A1009,天真爛漫,スロット4,3,4,8,1,2,4,0,0,302,40011,40,4,21005
921005,glorb_A1009,天真爛漫,スロット5,3,4,8,1,2,5,0,0,302,40011,50,5,21005
121009,glorb_A1009,天真爛漫,芸術を紙一重上回っているデザインのグローブ。見慣れると意外とカワイイと評判。子供かチンパンジーが気の向くままに描いた絵がデザインされているという噂がある,3,4,8,1,2,0,0,0,302,40011,0,1,522222
129021,glorb_A1009,妖画百景,妖怪画家が着色したことで妖気を放つようになったグローブ。見つめ続けると100体の妖怪が浮かんで見える3Dアート仕様。1時間おきに15分の休憩が必要？,3,4,8,1,2,0,0,0,302,40011,0,1,522222
121013,glorb_A1013,ヘヴンリーフェニックス,千回の死と再生を繰り返し、天界へと昇華した不死鳥が最後に残していった羽毛で作ったというグローブ,3,4,8,1,2,0,0,0,302,40016,0,1,522222
121014,glorb_A1014,怪力乱神,「技の快刀乱麻、力の怪力乱神」と並び称される。悪の組織が「快刀乱麻」を模して作った武器だが、清く正しく強い心の持ち主が使えば真の力を発揮すると言われる,3,4,8,1,2,0,0,0,302,40018,0,1,522222
121015,glorb_A1015,ヴェノムナックル,蛇の皮で作った後、その表面に特殊調合の蛇毒を塗って完成させたグローブ。打撃を受けた相手は激しい中毒状態に陥り苦しみ続ける。長時間装備していると、使用者自身も…,3,4,8,1,2,0,0,0,301,40021,0,1,522222
129015,glorb_A1015,ヴェノムナックル,蛇の皮で作った後、その表面に特殊調合の蛇毒を塗って完成させたグローブ。打撃を受けた相手は激しい中毒状態に陥り苦しみ続ける。長時間装備していると、使用者自身も…,3,4,8,1,2,0,0,0,301,40021,0,1,522222
121019,glorb_A1019,フェノメーター・プロト,探査用に製作されたフェノメーターギアのプロトタイプ。量産されたフェノメーターギアには無い機能があるが、戦闘用の性能は既に完成されている,3,4,8,1,2,0,0,0,301,40014,0,1,522222
129016,glorb_A1019,フェノメーター・プロト,探査用に製作されたフェノメーターギアのプロトタイプ。量産されたフェノメーターギアには無い機能があるが、戦闘用の性能は既に完成されている,3,4,8,1,2,0,0,0,301,40014,0,1,522222
920001,glorb_A1021,ジョーのバンテージ血涙,スロット1,3,4,8,1,2,1,0,0,301,40028,10,1,20005
920002,glorb_A1021,ジョーのバンテージ血涙,スロット2,3,4,8,1,2,2,0,0,301,40028,20,2,20005
920003,glorb_A1021,ジョーのバンテージ血涙,スロット3,3,4,8,1,2,3,0,0,301,40028,30,3,20005
920004,glorb_A1021,ジョーのバンテージ血涙,スロット4,3,4,8,1,2,4,0,0,301,40028,40,4,20005
920005,glorb_A1021,ジョーのバンテージ血涙,スロット5,3,4,8,1,2,5,0,0,301,40028,50,5,20005
121021,glorb_A1021,ジョーのバンテージ血涙,伝説の格闘王ジョーが拳に巻いていたという使い古しの包帯。ジョーの流した血と汗と涙が染み込んでいる,3,4,8,1,2,0,0,0,301,40028,0,1,522222
130001,mura_A0001,ドローン,金管楽器の形をしたミューラ,4,4,1,2,3,0,0,0,501,60001,0,1,522222
130002,mura_A0002,シャーマンボンゴ,外側が大きくなった形で、尖った羽毛が突き出ている,4,4,1,2,3,0,0,0,505,60003,0,1,522222
139002,mura_A0002,ジャーマンボンゴ,シャーマンボンゴのあからさまな偽物だが、1年生でも装備可能なため、偽物なりに意外と役に立つ。,4,4,1,2,3,0,0,0,505,60003,0,1,522222
130003,mura_A0003,トランパワー,四方がぼろぼろに壊れているトランペットのイメージ,4,4,1,2,3,0,0,0,0,0,0,1,522222
130004,mura_A0004,"The DJ",ターンテーブルのついた、巨大な虹色のアフロヅラ,4,4,1,2,3,0,0,0,505,60006,0,1,522222
139003,mura_A0004,"The DJ βedit",低学年でも使えるようにと開発された入門用アフロヅラ。ターンテーブル以外にも、最新4chミキサーなどを搭載。1年生でも装備可能。,4,4,1,2,3,0,0,0,505,60006,0,1,522222
139010,mura_A0004,"The DJ",ターンテーブルのついた、巨大な虹色のアフロヅラ,4,4,1,2,3,0,0,0,505,60006,0,1,522222
130005,mura_A0005,フラッフィ,銀色がかった色で長く伸びた形のミューラ。その音があまりにも美しいため、周りの人々も仕事の手を止めて音楽に聞き惚れると言う,4,4,1,2,3,0,0,0,501,60029,0,1,522222
139004,mura_A0005,フラッヒィ,どう聞いても空気が抜けているような劣化フラッフィ。2年生以上が装備できるよう調整されている。,4,4,1,2,3,0,0,0,501,60029,0,1,522222
130006,mura_A0006,パンフルート,使い方が簡単で、軽いため、多くの人々が愛用するミューラ。リコリング専用音楽大会もたまに開かれたりする,4,4,1,2,3,0,0,0,501,60030,0,1,522222
130007,mura_A0007,シンバリン,非常にうるさい音を出すミューラ。しかし他のミューラと一緒に使うと美しい音色となる。合奏をする時によく使われる,4,4,1,2,3,0,0,0,501,60031,0,1,522222
130008,mura_A0008,バイオリーノ,静かな単音から激情的な和音まで奏でられるミューラ。さまざまな音を同時に出せるが、使いこなすには地道な練習の積み重ねが必要,4,4,1,2,3,0,0,0,501,60032,0,1,522222
130009,mura_A0009,ピアニオ,鍵盤のように見え、押すと実際に音が出るミューラ。古くからあるが未だに構造上不明な部分があり、学者たちの関心を集めている,4,4,1,2,3,0,0,0,501,60011,0,1,522222
139006,mura_A0009,イベントピアニオ,鍵盤のように見え、押すと実際に音が出るミューラ。古くからあるが未だに構造上不明な部分があり、学者たちの関心を集めている,4,5,1,2,3,0,0,0,501,60011,0,1,522222
139021,mura_A0009,ピアニオ・LVB,音楽室に潜む某作曲家の楽器。夜になると勝手にピアニオの鍵盤を叩き作曲や演奏を始める。その結果不幸な目にあったとしても「運命」として受け入れよう。,4,4,1,2,3,0,0,0,501,60011,0,1,522222
